"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Serie histórica diaria del tipo de cambio peso-dólar"

"Fecha de consulta: 03/09/2017 06:50:24"

""

"Título","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954"
"Periodo disponible","19/04/1954 - 01/09/2017"
"Periodicidad","Diaria"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF63528"
02/01/2014,13.10110
03/01/2014,13.09110
06/01/2014,13.09050
07/01/2014,13.03370
08/01/2014,13.08460
09/01/2014,13.14030
10/01/2014,13.00650
13/01/2014,12.98890
14/01/2014,13.09560
15/01/2014,13.16890
16/01/2014,13.29070
17/01/2014,13.27370
20/01/2014,13.24200
21/01/2014,13.29840
22/01/2014,13.31940
23/01/2014,13.37220
24/01/2014,13.49300
27/01/2014,13.44080
28/01/2014,13.31040
29/01/2014,13.36710
30/01/2014,13.32070
31/01/2014,13.37690
04/02/2014,13.39280
05/02/2014,13.37050
06/02/2014,13.22110
07/02/2014,13.32850
10/02/2014,13.31340
11/02/2014,13.29160
12/02/2014,13.30560
13/02/2014,13.33200
14/02/2014,13.24770
17/02/2014,13.19490
18/02/2014,13.22610
19/02/2014,13.27140
20/02/2014,13.29130
21/02/2014,13.27040
24/02/2014,13.20900
25/02/2014,13.22480
26/02/2014,13.29920
27/02/2014,13.30660
28/02/2014,13.23790
03/03/2014,13.32010
04/03/2014,13.27520
05/03/2014,13.25190
06/03/2014,13.14760
07/03/2014,13.17950
10/03/2014,13.22480
11/03/2014,13.24300
12/03/2014,13.26590
13/03/2014,13.24560
14/03/2014,13.23400
18/03/2014,13.16750
19/03/2014,13.16950
20/03/2014,13.27030
21/03/2014,13.22000
24/03/2014,13.20190
25/03/2014,13.13490
26/03/2014,13.12730
27/03/2014,13.08370
28/03/2014,13.08410
31/03/2014,13.05490
01/04/2014,13.03130
02/04/2014,13.09910
03/04/2014,13.13240
04/04/2014,13.03450
07/04/2014,13.01790
08/04/2014,12.96420
09/04/2014,13.06040
10/04/2014,13.04530
11/04/2014,13.07880
14/04/2014,13.04930
15/04/2014,13.09860
16/04/2014,13.06030
21/04/2014,13.04130
22/04/2014,13.04480
23/04/2014,13.09080
24/04/2014,13.10100
25/04/2014,13.13710
28/04/2014,13.13560
29/04/2014,13.10390
30/04/2014,13.09010
02/05/2014,12.99810
05/05/2014,13.01020
06/05/2014,13.01290
07/05/2014,12.98760
08/05/2014,12.94770
09/05/2014,12.98430
12/05/2014,12.95340
